Anonymous
Collections
Abt, Franz
Adam, Adolphe
Agricola, Alexander
Albéniz, Isaac
Akimenko, Theodore
Alard, Jean Delphin
Albert, Charles d'
Alba, Antonio
Alario Del Río, Víctor Alberto
Albinoni, Tomaso
Alburger, Mark
Alejandre Prada, Manuel
Alkan, Charles-Valentin
Alıcıoğlu, Şafak
Alexandra, Liana
Allard, Michel
Anthiome, Eugène
Anzoletti, Marco
Arban, Jean-Baptiste
Arcadelt, Jacob
Arantes, Rafael Sales
Aramaki, Michio
Ariosti, Attilio
Arensky, Anton
Argentesi, Dario
Arne, Thomas Augustine
Armstrong, Thomas J.
Ascher, Joseph
Astort Ribas, Pedro
Auber, Daniel François Esprit
Auvray, Georges
Bach, Carl Philipp Emanuel
Bach, Johann Sebastian
Bach, Wilhelm Friedemann
Bach, Johann Christian
Backer-Grøndahl, Agathe
Bachmann, Georges
Bachlund, Gary
Bakalian, Craig
Balakirev, Mily
Banchieri, Adriano
Ball, Ernest Roland
Bantock, Granville
Barbier, Frédéric
Barber, Charlie
Barrios Mangoré, Agustín
Barradas, Carmen
Bartók, Béla
Baruk, Jason
Bates, C.M.
Battmann, Jacques-Louis
Bax, Arnold
Beach, Amy Marcy
Beatty, Stephen W.
Beethoven, Ludwig van
Bedetti, Tiziano
Behr, Franz
Beischer-Matyó, Tamás
Bellak, James
Benda, Franz
Bendel, Franz
Benda, Georg
Benoit, Peter
Bériot, Charles-Auguste de
Berger, Rodolphe
Berlioz, Hector
Bernard, Paul
Berlin, Irving
Bernet, Atie
Bernard, Jean
Bertini, Henri
Berwald, Franz
Besset, Julian Raoul
Bertrand, Anthoine de
Bigaglia, Diogenio
Binchois, Gilles
Bishop, Henry Rowley
Bird, Melvin Clive
Bizet, Georges
Björgvin Guðmundsson
De Bleser, Werner J.E.
Bloch, Ernest
Blumenfeld, Felix
Boccherini, Luigi
Bochsa, Nicholas Charles
Boden, Andrew David
Bohm, Carl
Boëly, Alexandre-Pierre-François
Boisdeffre, René de
Bomhof, Wim
Bononcini, Giovanni
Borch, Gaston
Bovy-Lysberg, Charles Samuel
Boyce, William
Brahms, Johannes
Brandes, Felipe
Bridge, Frank
Briccialdi, Giulio
Brolsma, Bruce Edward
Bruch, Max
Brown, Francis Henry
Bruckner, Anton
Brüll, Ignaz
Buck, Dudley
Bull, John
Busoni, Ferruccio
Busnois, Antoine
Byrd, William
Buxtehude, Dietrich
Cabezón, Antonio de
Cadman, Charles Wakefield
Cabanilles, Juan
Call, Leonhard von
Caldara, Antonio
Caldini, Fulvio
Carcassi, Matteo
Carbajo, Víctor
Carulli, Ferdinando
Carvalho, Carlos T. de
Cattaneo, Pietro
Cavalcanti, Aurélio
Chabrier, Emmanuel
Chadwick, George Whitefield
Chaminade, Cécile
Charpentier, Marc-Antoine
Charton, Georges
Chavagnat, Edouard
Cherubini, Luigi
Chopin, Frédéric
Cimarosa, Domenico
Cima, Giovanni Paolo
Clérice, Justin
Coleridge-Taylor, Samuel
Colomer, Blas María de
Collum, Herbert
Compère, Loyset
Cooke, Benjamin
Corelli, Arcangelo
Corbin, Albert
Coperario, John
Cornelius, Peter
Costa Nogueras, Vicente
Coste, Napoléon
Costeley, Guillaume
Cotton, Aaron Alexander
Couperin, Louis
Cowen, Frederic Hymen
Cowell, Henry
Cox, John Summers
Cramer, Johann Baptist
Cramer - Pseudonym
Croisez, Alexandre
Cui, César
Cruz, Antonio de la
Cummings, Robert
Czerny, Carl
Dal Dosso, Gian Paolo
Dancla, Charles
Davidson, Robert
David, Adolphe
Davies, Walford
Debussy, Claude
Delius, Frederick
Delibes, Léo
Denza, Luigi
Deransart, Édouard
Diabelli, Anton
Dittersdorf, Carl Ditters von
Donaldson, Walter
Donella, Valentino
Donizetti, Gaetano
Dowland, John
Draeseke, Felix
Dotzauer, Friedrich
Dovicchi, João Cândido
Drdla, František Alois
Drehmer, Earl Richard
Du Caurroy, Eustache
Droccos, L. A.
Dubois, Théodore
Dufay, Guillaume
Dussek, Jan Ladislav
Dvořák, Antonín
Dyson, Peter
Egghard, Jules
Eisler, Hanns
Eisenbrey, Keith
Elgar, Edward
Elmas, Stephan
English Folk Music
Endo, Masao
Esmen, Nurtan Alan
Fahrbach Jr., Philipp
Farnaby, Giles
Fasch, Johann Friedrich
Fasolo, Giovanni Battista
Fauré, Gabriel
Faure, Jean-Baptiste
Faulkes, William
Ferrer, José
Ferrari, Carlotta
Fetrás, Oscar
Fine, Elaine
Fine, Vivian
Florczak, Lukas
Foerster, Adolph Martin
Folk Songs, German
Folk Songs, Danish
Folk Songs, Azerbaijani
Folk Songs, Brazilian
Foote, Arthur
Foster, Stephen
Franck, César
Frescobaldi, Girolamo
Friedman, Ignaz
Frey, E. H.
Fried, Joseph Nicholas
Froberger, Johann Jacob
Fröhlich, Friedrich Theodor
